AI和大数据领军人才,阳光保险集团,通州,本科,面议,5-10年,股份制企业,10000人以上,全职,http://jobs.zhaopin.com/CC120868770J40554620304.htm
大数据开发工程师 (MJ000481),中国网安,石景山,本科,1.4万-2.2万,1-3年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC277012680J40456553204.htm
大数据开发（康明斯）,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,朝阳,本科,1.8万-2万,3-5年,外商独资,500-999人,全职,http://jobs.zhaopin.com/CC134310320J40548086506.htm
项目经理（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,1.3万-2万,5-10年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC346778530J40522973210.htm
数字经济、大数据研究员,中国电子技术标准化研究院((工业和信息化部电子工业标准化研究院)(工业和信息化部电子第四研究院)),东城,硕士,1.2万-1.5万,经验不限,事业单位,500-999人,全职,http://jobs.zhaopin.com/CCL1295375360J40562514515.htm
规划处研究员,中城智慧(北京)城市规划设计研究院有限公司,,本科,6千-1万,3-5年,民营,20-99人,全职,http://jobs.zhaopin.com/CC697912127J00024209510.htm
产品实习生（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,100-120/天,无经验,国企,1000-9999人,实习,http://jobs.zhaopin.com/CC346778530J40563653310.htm
大数据类岗位（2024校招）(J63435),泰康在线,昌平,本科,1万-1.7万,经验不限,股份制企业,500-999人,校园,http://jobs.zhaopin.com/CC219857230J40534533601.htm
大数据开发项目助理,北京旭日讯通科技发展有限公司,丰台,本科,8千-1万,1-3年,民营,100-299人,全职,http://jobs.zhaopin.com/CCL1219640610J40592637708.htm
大数据岗,中国时空信息集团有限公司,朝阳,硕士,面议,5-10年,,100-299人,全职,http://jobs.zhaopin.com/CCL1484408020J40605270008.htm
大数据平台架构师（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,2万-3万,5-10年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC346778530J40505021510.htm
大数据工程师,中国华能集团清洁能源技术研究院有限公司,昌平,本科,1.4万-2.8万,3-5年,国企,300-499人,全职,http://jobs.zhaopin.com/CC450349620J40425025413.htm
大数据研究员（农业aicgis）,锐仕方达人才科技集团有限公司,石景山,硕士,9千-1.5万,经验不限,股份制企业,1000-9999人,全职,http://jobs.zhaopin.com/CCL1236606730J40538616014.htm
数据资源实习生（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,100-120/天,无经验,国企,1000-9999人,实习,http://jobs.zhaopin.com/CC346778530J40552907610.htm
大数据开发工程师,央视国际网络有限公司,海淀,本科,1.5万-2.3万,无经验,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC138910710J40322990314.htm
项目经理-大数据,千方科技,海淀,本科,1万-1.5万,3-5年,上市公司,1000-9999人,全职,http://jobs.zhaopin.com/CC679964920J40198874212.htm
城市大数据分析（数据模拟方向）,北京城垣数字科技有限责任公司,西城,硕士,1.2万-1.5万,经验不限,,20-99人,全职,http://jobs.zhaopin.com/CC345369930J40565356609.htm
大数据开发工程师,公安部第一研究所,海淀,本科,2万-2.5万,1-3年,事业单位,1000-9999人,全职,http://jobs.zhaopin.com/CC120879460J40673961515.htm
商务实习生（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,100-120/天,无经验,国企,1000-9999人,实习,http://jobs.zhaopin.com/CC346778530J40547749410.htm
大数据分析师（校园应届）,国研科技集团有限公司,东城,硕士,1万-1.5万,经验不限,国企,500-999人,校园,http://jobs.zhaopin.com/CC000275200J40277442303.htm
Python大数据分析特训营课程/培训招生北京,51Testing,朝阳,大专,8千-1.2万,经验不限,民营,100-299人,全职,http://jobs.zhaopin.com/CC145362720J40353542602.htm
公安大数据运维工程师,深圳易宝软件有限公司,东城,大专,1.1万-1.8万,3-5年,上市公司,1000-9999人,全职,http://jobs.zhaopin.com/CC120109940J40555618113.htm
大数据情报分析工程师,公安部第一研究所,海淀,本科,1.5万-2万,1-3年,事业单位,1000-9999人,全职,http://jobs.zhaopin.com/CC120879460J40673974915.htm
项目经理（AI、大数据）,中移数智科技有限公司,海淀,硕士,2.2万-4万,5-10年,国企,100-299人,全职,http://jobs.zhaopin.com/CCL1357573180J40540783505.htm
销售总监（国网）,北京天易数聚科技有限公司,丰台,本科,2万-4万,5-10年,民营,300-499人,全职,http://jobs.zhaopin.com/CC536852930J40533038204.htm
技术讲师兼职,北京中科信软科技有限公司,海淀,本科,6千-1.2万,3-5年,其它,100-299人,全职,http://jobs.zhaopin.com/CC219501810J40544190413.htm
大数据工程师,中思创新(北京)科技有限公司,昌平,本科,8千-1.6万,经验不限,其它,300-499人,全职,http://jobs.zhaopin.com/CCL1479243980J40557741011.htm
大数据产品经理（央企）,中节能数字科技有限公司,海淀,本科,1.5万-2.5万,5-10年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC541239720J40537442507.htm
数据要素研究员,国研科技集团有限公司,东城,本科,1万-1.8万,3-5年,国企,500-999人,全职,http://jobs.zhaopin.com/CC000275200J40562845703.htm
售前新能源发电大数据方案师,北京智慧空间科技有限责任公司,,本科,1万-2万,经验不限,民营,20-99人,全职,http://jobs.zhaopin.com/CC681945820J40386208309.htm
大数据运维工程师,中思创新(北京)科技有限公司,昌平,本科,8千-1.6万,经验不限,其它,300-499人,全职,http://jobs.zhaopin.com/CCL1479243980J40557742411.htm
产品经理（司法大数据）,中国司法大数据研究院有限公司,石景山,本科,1.5万-2.5万,5-10年,国企,100-299人,全职,http://jobs.zhaopin.com/CC547031530J40248067407.htm
数据分析与人工智能工程师,中国纺织科学研究院有限公司,朝阳,硕士,1.2万-2.4万,1-3年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC134625640J40613797801.htm
大数据/容器运维工程师（五险一金+双休）,博彦科技承德有限公司,朝阳,大专,1.3万-1.4万,1-3年,股份制企业,1000-9999人,全职,http://jobs.zhaopin.com/CC637366030J40550794506.htm
科技中心-大数据专家,泰康健投,朝阳,本科,1.8万-3万,5-10年,民营,10000人以上,全职,http://jobs.zhaopin.com/CC463524730J40551363904.htm
项目经理（育种大数据方向）,北京兴农丰华科技有限公司,海淀,本科,1万-2万,经验不限,民营,20-99人,全职,http://jobs.zhaopin.com/CC428960525J00158840312.htm
大数据解决方案工程师,中车信息公司,海淀,本科,1.5万-2.5万,5-10年,国企,100-299人,全职,http://jobs.zhaopin.com/CC120171040J40522809111.htm
政务大数据治理工程师,智联猎头,西城,本科,2万-3万,3-5年,其它,1000-9999人,全职,http://jobs.zhaopin.com/CCL1318355140J40572227803.htm
大数据运维项目经理,中思创新(北京)科技有限公司,昌平,本科,8千-1.6万,1-3年,其它,300-499人,全职,http://jobs.zhaopin.com/CCL1479243980J40557744411.htm
大数据运维（学信统本）,北京青钱信息技术有限公司,西城,本科,1.4万-2.1万,3-5年,民营,500-999人,全职,http://jobs.zhaopin.com/CC337626410J40579904310.htm
项目经理（农业大数据方向）,北京兴农丰华科技有限公司,海淀,本科,1万-2万,经验不限,民营,20-99人,全职,http://jobs.zhaopin.com/CC428960525J00158848412.htm
大数据运维工程师（北京）,华苏科技,西城,大专,1.1万-1.5万,1-3年,民营,1000-9999人,全职,http://jobs.zhaopin.com/CC666898020J40595727602.htm
科技管理岗,中国节能环保集团有限公司,海淀,本科,面议,3-5年,国企,10000人以上,全职,http://jobs.zhaopin.com/CC334729120J40332543009.htm
大数据应用研究工程师,北京安信创业信息科技发展有限公司,东城,本科,1.6万-1.8万,经验不限,国企,300-499人,全职,http://jobs.zhaopin.com/CC267889010J40430665301.htm
大数据工程师,华北计算机系统工程研究所(中国电子信息产业集团有限公司第六研究所),昌平,硕士,1.5万-3万,1-3年,事业单位,1000-9999人,全职,http://jobs.zhaopin.com/CC000580620J40466992004.htm
碳中和大数据分析师(零碳园区）,北京慧碳众和资源科技有限公司,通州,硕士,1.2万-2.4万,3-5年,民营,20-99人,全职,http://jobs.zhaopin.com/CCL1389503880J40604573915.htm
大数据/AI产品经理(J10534),北京华宇元典信息服务有限公司,海淀,本科,1.2万-1.6万,1-3年,民营,100-299人,全职,http://jobs.zhaopin.com/CC409922380J40569863902.htm
数据工程/大数据分析咨询顾问,通力凯顿（北京）系统集成有限公司,朝阳,本科,2万-3万,3-5年,民营,100-299人,全职,http://jobs.zhaopin.com/CC120185010J40538232709.htm
大数据平台运维,三星(中国)投资有限公司,朝阳,硕士,面议,3-5年,外商独资,10000人以上,全职,http://jobs.zhaopin.com/CC120340690J40491673004.htm
大数据项目副经理,石化盈科,朝阳,本科,2.5万-3万,5-10年,合资,1000-9999人,全职,http://jobs.zhaopin.com/CC000603700J40498744211.htm
数据分析师,中国科学院信息工程研究所,海淀,本科,8千-1.2万,1-3年,事业单位,1000-9999人,全职,http://jobs.zhaopin.com/CC430354720J40544571802.htm
大数据运营,南京迈特望科技股份有限公司,昌平,本科,6千-1万,1-3年,股份制企业,1000-9999人,全职,http://jobs.zhaopin.com/CC142971790J40560300711.htm
大数据开发工程师,华熙生物,朝阳,大专,1万-1.4万,经验不限,上市公司,1000-9999人,全职,http://jobs.zhaopin.com/CC446232920J40595955108.htm
Java开发工程师,杉松(北京)技术咨询有限公司,顺义,大专,1.7万-1.8万,5-10年,其它,500-999人,全职,http://jobs.zhaopin.com/CC600147580J40567894403.htm
